match_id,team_id,possession_pct,total_shots,shots_on_target,corners,fouls,offsides,saves,player_of_the_match,data_source,last_updated
47,47,41,9,2,3,12,1,3,,fifa.com,2026-06-25
48,48,44,7,1,2,14,2,3,,fifa.com,2026-06-25
48,46,56,15,4,5,10,1,1,Ante Budimir,fifa.com,2026-06-25
49,4,50,13,1,5,9,2,2,,sofascore.com,2026-06-25
49,1,50,11,5,1,13,1,1,Mateo Chavez,sofascore.com,2026-06-25
50,2,32,13,4,3,12,1,3,Thapelo Maseko,fifa.com,2026-06-25
50,3,68,8,3,6,9,2,3,,fifa.com,2026-06-25
51,8,55,6,4,2,15,0,6,Johan Kula Manzambi,fifa.com,2026-06-25
51,5,45,13,7,5,10,3,2,,fifa.com,2026-06-25
52,6,54,14,5,5,9,1,2,Kerim Alajbegovic,fifa.com,2026-06-25
52,7,46,9,3,5,14,3,3,,fifa.com,2026-06-25
